cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie_1,categorie_2,categorie_3,limite_qualite,limite_qualite_unite,limite_qualite_commentaire,limite_indicative,limite_indicative_unite,valeur_sanitaire_1,valeur_sanitaire_1_unite,valeur_sanitaire_1_commentaire,valeur_sanitaire_2,valeur_sanitaire_2_unite,valeur_sanitaire_2_commentaire
PFHPS,6542,ACIDE PERFLUOROHEPTANE SULFONIQUE,Acide perfluoroheptane sulfonique (PFHpS),375-92-8,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFTRDA,6549,ACIDE PERFLUORO TRIDECANOIQUE,Acide perfluoro tridecanoique (PFTrDA),72629-94-8,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFDS,6550,ACIDE PERFLUORODECANE SULFONIQUE ,Acide perfluorodecane sulfonique ,335-77-3,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
ASPFOS,6560,ACIDE PERFLUOROOCTANE SULFONIQUE,Acide perfluorooctane sulfonique (PFOS),1763-23-1,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFOS,6561,ACIDE SULFONIQUE DE PERFLUOROOCTANE,Acide sulfonique de perfluorooctane,1763-23-1,pfas,,,,,,,,0.18,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017 (Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses),,,
PFHXS,6830,PERFLUOROHEXANE SULFONATE,Perfluorohexane sulfonate,355-46-4,pfas,,,,,,,,12,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017 (Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses),,,
PFPS,8738,ACIDE PERFLUOROPENTANE SULFONIQUE,Acide perfluoropentane sulfonique (PFPS),2706-91-4,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFNS,8739,ACIDE PERFLUORONONANE SULFONIQUE,Acide perfluorononane sulfonique (PFNS),68259-12-1,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFUNDS,8740,ACIDE PERFLUORO UNDECANE SULFONIQUE,Acide perfluoro undecane sulfonique (PFUnDS),749786-16-1,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFDODS,8741,ACIDE PERFLUORODODÉCANE SULFONIQUE ,Acide perfluorododécane sulfonique (PFDoDS),79780-39-5,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFTRDS,8742,ACIDE PERFLUORO TRIDECANE SULFONIQUE,Acide perfluoro tridecane sulfonique (PFTrDS),791563-89-8,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
SPFAS,8847,SOMME DE 20 PFAS,Somme de 20 substances perfluoroalkylées (PFAS),,pfas,,,0.1,µg/L,"Limite de qualité réglementaire pour la somme des concentrations de 20 PFAS issue de la Directive européenne ""eau potable"", adoptée officiellement par la France. Attention, cette norme est critiquée par la communauté scientifique qui ne la juge pas suffisamment protectrice",,,,,,,,
,, ,Somme de 4 PFAS (PFOA PFOS PFNA PFHXS),,pfas,,,0.02,µg/L,"Limite non réglementaire, recommandée par le Haut Conseil de la Santé publique pour la somme des concentrations de 4 PFAS (PFOA, PFOS, PFNA, PFHxS). Valeur non retenue par le ministère de la Santé.",,,,,,,,
CLVYL,1753,CHLORURE DE VINYL MONOMÈRE,Chlorure de vinyl monomère,75-01-4,cvm,,,0.5,µg/L,,,,,,,,,
NO3,1340,NITRATES (EN NO3),Nitrates (en NO3),14797-55-8,nitrate,,,,,,,,50,mg/L,Limite réglementaire et sanitaire ,,,
AS,1369,ARSENIC,Arsenic,7440-38-2,metaux_lourds,,,10,µg/L,Limite réglementaire,,,13,µg/L,,,,
PB,1382,PLOMB,Plomb,7439-92-1,metaux_lourds,,,10,µg/L,Limite réglementaire applicable jusqu'au 31 décembre 2035,,,,,,,,
14DAN,1580,"1,4 DIOXANE","1,4 dioxane",123-91-1,substances_indus,,,,,Il n'existe pas de valeur réglementaire pour cette substance,,,0.35,µg/L,Limite non réglementaire préconisée par l'agence américaine de protection de l'environnement et recommandée par les ARS,,,
PCLAT,6219,PERCHLORATE,Perchlorate,14797-73-0,substances_indus,,,,,Il n'existe pas de valeur réglementaire pour cette substance,,,4,µg/L,Le ministère de la santé recommande de limiter l’utilisation d’eau dont la teneur en ions perchlorate dépasse 4 µg/L pour la préparation des biberons des nourrissons de moins de 6 mois ,15,µg/L,Le ministère de la santé recommande de limiter la consommation d’eau dont la teneur en ions perchlorate dépasse 15 µg/L pour les femmes enceintes et allaitantes (protégeant ainsi fœtus et nourrissons).
DIM2ESA,6381,CGA 354742,CGA 354742,,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
ESADIM2,6381,CGA 354742,CGA 354742,,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
ESADIM1,7727,CGA 369873,CGA 369873,,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,1,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
DIM1ESA,7727,CGA 369873,CGA 369873,,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,1,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
471811R,8865,CHLOROTHALONIL R471811,Chlorothalonil R471811,,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses). L'Anses n'a pas pu établir de Vmax en 2021,,,
R471811,8865,CHLOROTHALONIL R471811,Chlorothalonil R471811,,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses). L'Anses n'a pas pu établir de Vmax en 2021,,,
DMTHESA,6865,DIMÉTHÉNAMIDE ESA,Diméthénamide ESA,205939-58-8,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
ESADMTH,6865,DIMÉTHÉNAMIDE ESA,Diméthénamide ESA,205939-58-8,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
DMTHOXA,7735,DIMÉTHÉNAMIDE OXA,Diméthénamide OXA,380412-59-9,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
OXADMTH,7735,DIMÉTHÉNAMIDE OXA,Diméthénamide OXA,380412-59-9,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
CETCESA,6856,ESA ACETOCHLORE,ESA acetochlore,187022-11-3,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,1.28,µg/L,Valeur recommandée par le HCSP pour les métabolites non pertinents en l'absence de Vmax ou VST,,,
ESACETC,6856,ESA ACETOCHLORE,ESA acetochlore,187022-11-3,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,1.28,µg/L,Valeur recommandée par le HCSP pour les métabolites non pertinents en l'absence de Vmax ou VST,,,
ESALCL,6800,ESA ALACHLORE,ESA alachlore,142363-53-9,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,1.28,µg/L,Valeur recommandée par le HCSP pour les métabolites non pertinents en l'absence de Vmax ou VST,,,
LCLESA,6800,ESA ALACHLORE,ESA alachlore,142363-53-9,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,1.28,µg/L,Valeur recommandée par le HCSP pour les métabolites non pertinents en l'absence de Vmax ou VST,,,
MTZCESA,6895,ESA METAZACHLORE,ESA metazachlore,172960-62-2,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
ESAMTZC,6895,ESA METAZACHLORE,ESA metazachlore,172960-62-2,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
ESAMTC,6854,ESA METOLACHLORE,ESA metolachlore,171118-09-5,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
MTCESA,6854,ESA METOLACHLORE,ESA metolachlore,171118-09-5,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
MTCNOA,7729,METOLACHLOR NOA 413173,Metolachlor NOA 413173,1418095-19-8,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
NOAMTC,7729,METOLACHLOR NOA 413173,Metolachlor NOA 413173,1418095-19-8,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
CETCOXA,6862,OXA ACETOCHLORE,OXA acetochlore,194992-44-4,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,1.28,µg/L,Valeur recommandée par le HCSP pour les métabolites non pertinents en l'absence de Vmax ou VST,,,
OXACETC,6862,OXA ACETOCHLORE,OXA acetochlore,194992-44-4,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,1.28,µg/L,Valeur recommandée par le HCSP pour les métabolites non pertinents en l'absence de Vmax ou VST,,,
OXAMTZC,6894,OXA METAZACHLORE,OXA metazachlore,1231244-60-2,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
MTZCOXA,6894,OXA METAZACHLORE,OXA metazachlore,1231244-60-2,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
OXAMTC,6853,OXA METOLACHLORE,OXA metolachlore,152019-73-3,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
MTCOXA,6853,OXA METOLACHLORE,OXA metolachlore,152019-73-3,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire pour les métabolites non pertinents,0.9,µg/L,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
AMPA,1907,AMPA,AMPA,1066-51-9,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,0.9,µg/L,900,µg/L,Vmax établie par l'Anses en 2007,,,
26DCB,2011,"2,6 DICHLOROBENZAMIDE","2,6 Dichlorobenzamide",2008-58-4,pesticide,metabolite,pertinent,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,110,µg/L,Vmax établie par l'Anses en 2021,,,
CLDZ_D,6378,CHLORIDAZONE DESPHÉNYL,Chloridazone desphényl,6339-19-1,pesticide,metabolite,pertinent,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,11,µg/L,Vmax établie par l'Anses en 2024,,,
CLDZ_MD,6379,CHLORIDAZONE MÉTHYL DESPHÉNYL,Chloridazone méthyl desphényl,17254-80-7,pesticide,metabolite,pertinent,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,110,µg/L,Vmax établie par l'Anses en 2024,,,
CLTHALS,7717,CHLOROTHALONIL R417888,Chlorothalonil R417888,1418095-02-9,pesticide,metabolite,pertinent,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
ESAFLU,6864,FLUFENACET ESA,Flufenacet ESA,201668-32-8,pesticide,metabolite,pertinent,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,1,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses). L'Anses n'a pas pu établir de Vmax en 2019,,,
NDMS,6384,"N,N-DIMETHYLSULFAMIDE","N,N-Dimethylsulfamide",3984-14-3,pesticide,metabolite,pertinent,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,1,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses). L'Anses n'a pas pu établir de valeur sanitaire en 2018,,,
OXALCL,6855,OXA ALACHLORE,OXA alachlore,171262-17-2,pesticide,metabolite,pertinent,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,50,µg/L,Vmax établie par l'Anses en 2014,,,
TERBMDE,2051,TERBUMÉTON-DÉSETHYL,Terbuméton-désethyl,30125-64-5,pesticide,metabolite,pertinent,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST. L'Anses n'a pas pu établir de Vmax en 2021,,,
ENDOB,1179,ENDOSULFAN BÉTA,Endosulfan béta,33213-65-9,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
ENDOA,1178,ENDOSULFAN ALPHA,Endosulfan alpha,959-98-8,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,180,µg/L,Vmax établie par l'Anses en 2013,,,
DCPMU,1929,"1-(3,4-DICHLOROPHÉNYL)-3-MÉTHYLURÉE","1-(3,4-dichlorophényl)-3-méthylurée",3567-62-2,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
DCPU,1930,"1-(3,4-DICHLOROPHÉNYL)-URÉE","1-(3,4-dichlorophényl)-urée",2327-02-08,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
IPPU,2847,1-(4-ISOPROPYLPHENYL)-URÉE,1-(4-isopropylphenyl)-urée,56046-17-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
MMTA,6803,"2-AMINO-4-METHOXY-6-METHYL-1,3,5-TRIAZINE","2-amino-4-methoxy-6-methyl-1,3,5-triazine",1668-54-8,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
2ANIP,6809,2-AMINO-N-ISO-PROPYLBENZAMIDE,2-amino-N-iso-propylbenzamide,30391-89-0,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
ASDM,7716,"2-AMINOSULFONYL-N,N-DIMETHYLNICOTIN","2-Aminosulfonyl-N,N-dimethylnicotin",112006-75-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
CDEPA,3283,"2-CHLORO-N-(2,6-DIETHYLPHENYL)ACETAMIDE","2-Chloro-N-(2,6-diethylphenyl)acetamide",6967-29-9,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
BENZENA,2932,2-ETHYL-6-METHYLANILINE,2-ethyl-6-methylaniline,24549-06-02,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
DEA,1943,"2,6-DIETHYLANILINE","2,6-Diethylaniline",579-66-8,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
3KETCA,2942,3-KETOCARBOFURAN,3-Ketocarbofuran,16709-30-1,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
34DCLA,1586,"3,4-DICHLOROANILINE","3,4-dichloroaniline",95-76-1,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
4ISPRO,1932,4-ISOPROPYLANILINE,4-Isopropylaniline,99-88-7,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
44DCBP,3165,"4,4'-DICHLOROBENZOPHENONE","4,4'-Dichlorobenzophenone",90-98-2,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
ALDSN,1807,ALDICARBE SULFONÉ,Aldicarbe sulfoné,1646-88-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
ALDSY,1806,ALDICARBE SULFOXYDE,Aldicarbe sulfoxyde,1646-87-3,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
AD2H,3160,ATRAZINE DÉISOPROPYL-2-HYDROXY,Atrazine déisopropyl-2-hydroxy,7313-54-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2016,,,
ADET,1108,ATRAZINE DÉSÉTHYL,Atrazine déséthyl,6190-65-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2016,,,
ADETD,1830,ATRAZINE DÉSÉTHYL DÉISOPROPYL,Atrazine déséthyl déisopropyl,3397-62-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2016,,,
ADET2,3159,ATRAZINE DÉSÉTHYL-2-HYDROXY,Atrazine déséthyl-2-hydroxy,19988-24-0,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
A2H,1832,ATRAZINE-2-HYDROXY,Atrazine-2-hydroxy,2163-68-0,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,120,µg/L,Vmax établie par l'Anses en 2016,,,
ADSP,1109,ATRAZINE-DÉISOPROPYL,Atrazine-déisopropyl,1007-28-9,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2016,,,
AUSN,7719,AUSN,"2-[(carbamimidoylcarbamoyl)sulfamoyl]-N,Ndimethylpyridine-3-carboxamid",2307738-55-0,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
KEP5BH,6577,CHLORDECONE 5B HYDRO,Chlordecone 5b Hydro,53308-47-7,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
2CP,1471,CHLOROPHÉNOL-2,Chlorophénol-2,95-57-8,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
4CP,1650,CHLOROPHÉNOL-4,Chlorophénol-4,106-48-9,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
CLTHAR6,,CHLOROTHALONIL MÉTABOLITE R611965,Chlorothalonil métabolite R611965,142733-37-7,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,3,µg/L,Valeur sanitaire transitoire établie par l'agence allemande UBA (utilisée en l'absence de Vmax fixée par l'Anses),,,
CLTHSYN,,CHLOROTHALONIL MÉTABOLITE SYN507900,Chlorothalonil métabolite SYN507900,115044-73-0,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,
